CID;TABCD;LCD;CLASS;TCD;STCD;NID;POL_LCD
58;1;34196;A;1;0;7567;
58;1;1;A;3;0;5878;34196
58;1;2;A;3;0;8155;34196
58;1;3;A;3;0;3350;34196
58;1;4;A;3;0;18638;34196
58;1;5;A;3;0;16165;34196
58;1;6;A;3;0;23480;34196
58;1;7;A;3;0;25726;34196
58;1;8;A;3;0;20620;34196
58;1;9;A;3;0;28651;34196
58;1;10;A;3;0;25938;34196
58;1;11;A;3;0;12657;34196
58;1;12;A;3;0;9593;34196
58;1;13;A;3;0;6447;34196
58;1;256;A;7;0;23059;1
58;1;257;A;7;0;10428;1
58;1;258;A;7;0;18675;1
58;1;259;A;7;0;4554;1
58;1;260;A;7;0;18866;1
58;1;261;A;7;0;11421;1
58;1;262;A;7;0;21596;1
58;1;263;A;7;0;2959;1
58;1;264;A;7;0;3225;1
58;1;265;A;7;0;22538;1
58;1;266;A;7;0;3503;1
58;1;267;A;7;0;4392;1
58;1;268;A;7;0;16861;1
58;1;269;A;7;0;22556;1
58;1;270;A;7;0;22559;1
58;1;271;A;7;0;25479;1
58;1;272;A;8;0;1680;260
58;1;274;A;8;0;5363;269
58;1;275;A;8;0;21209;261
58;1;277;A;8;0;5848;260
58;1;278;A;8;0;6319;269
58;1;279;A;8;0;6519;260
58;1;280;A;8;0;8210;263
58;1;281;A;8;0;21210;261
58;1;284;A;8;0;13184;263
58;1;285;A;8;0;21211;261
58;1;287;A;8;0;14349;260
58;1;288;A;8;0;15454;269
58;1;291;A;8;0;17265;264
58;1;292;A;8;0;17850;260
58;1;293;A;8;0;18593;264
58;1;294;A;8;0;19090;264
58;1;295;A;8;0;19149;264
58;1;296;A;8;0;19264;264
58;1;299;A;8;0;23320;264
58;1;300;A;8;0;24913;263
58;1;302;A;8;0;25784;263
58;1;303;A;8;0;26001;264
58;1;305;A;9;1;24941;287
58;1;308;A;9;1;596;299
58;1;309;A;9;1;633;302
58;1;310;A;9;1;911;271
58;1;311;A;9;1;937;262
58;1;312;A;9;1;1053;294
58;1;313;A;9;1;1068;262
58;1;315;A;9;1;1341;296
58;1;316;A;9;1;1353;258
58;1;319;A;9;1;1504;291
58;1;321;A;9;1;1728;303
58;1;323;A;9;1;22633;270
58;1;324;A;9;1;1851;299
58;1;326;A;9;1;1894;258
58;1;328;A;9;1;2670;262
58;1;329;A;9;1;2742;303
58;1;330;A;9;1;2747;262
58;1;331;A;9;1;592;262
58;1;332;A;9;1;2895;294
58;1;334;A;9;1;3055;295
58;1;336;A;9;1;3120;267
58;1;337;A;9;1;3206;278
58;1;339;A;9;1;3423;294
58;1;340;A;9;1;3487;275
58;1;343;A;9;1;3642;262
58;1;344;A;9;1;3721;302
58;1;346;A;9;1;3879;262
58;1;347;A;9;1;6833;262
58;1;348;A;9;1;1487;270
58;1;349;A;9;1;5100;300
58;1;352;A;9;1;5135;270
58;1;353;A;9;1;4268;292
58;1;357;A;9;1;4504;280
58;1;359;A;9;1;4965;270
58;1;360;A;9;1;5266;284
58;1;361;A;9;1;5337;258
58;1;362;A;9;1;5349;296
58;1;365;A;9;1;5436;258
58;1;366;A;9;1;5445;295
58;1;368;A;9;1;5455;262
58;1;369;A;9;1;5456;292
58;1;371;A;9;1;5537;258
58;1;372;A;9;1;5574;294
58;1;373;A;9;1;5607;267
58;1;375;A;9;1;5685;275
58;1;376;A;9;1;26483;262
58;1;377;A;9;1;5759;293
58;1;382;A;9;1;5927;258
58;1;383;A;9;1;5993;299
58;1;384;A;9;1;6004;293
58;1;385;A;9;1;6037;256
58;1;387;A;9;1;6105;299
58;1;388;A;9;1;6128;262
58;1;392;A;9;1;6504;287
58;1;394;A;9;1;6582;294
58;1;395;A;9;1;6818;294
58;1;396;A;9;1;6944;267
58;1;397;A;9;1;26386;274
58;1;399;A;9;1;7105;280
58;1;400;A;9;1;7150;258
58;1;401;A;9;1;7202;272
58;1;402;A;9;1;7222;284
58;1;403;A;9;1;7266;294
58;1;404;A;9;1;21522;287
58;1;407;A;9;1;7335;291
58;1;409;A;9;1;7496;300
58;1;410;A;9;1;7579;287
58;1;412;A;9;1;8010;295
58;1;418;A;9;1;8278;294
58;1;419;A;9;1;8300;284
58;1;420;A;9;1;8317;293
58;1;421;A;9;1;8448;258
58;1;422;A;9;1;8531;285
58;1;423;A;9;1;8601;294
58;1;425;A;9;1;8744;294
58;1;428;A;9;1;9005;262
58;1;429;A;9;1;9132;281
58;1;430;A;9;1;9147;258
58;1;432;A;9;1;10097;300
58;1;433;A;9;1;10107;278
58;1;434;A;9;1;9386;258
58;1;435;A;9;1;9400;271
58;1;436;A;9;1;10116;258
58;1;437;A;9;1;9462;258
58;1;439;A;9;1;9532;271
58;1;440;A;9;1;9729;275
58;1;441;A;9;1;10155;299
58;1;443;A;9;1;10171;277
58;1;449;A;9;1;10482;258
58;1;451;A;9;1;21238;258
58;1;453;A;9;1;10623;258
58;1;454;A;9;1;10857;303
58;1;455;A;9;1;10848;267
58;1;457;A;9;1;10961;300
58;1;458;A;9;1;10994;300
58;1;460;A;9;1;11090;287
58;1;461;A;9;1;11134;258
58;1;462;A;9;1;11256;277
58;1;464;A;9;1;11376;285
58;1;465;A;9;1;11414;256
58;1;466;A;9;1;11480;271
58;1;467;A;9;1;11490;258
58;1;468;A;9;1;11654;275
58;1;469;A;9;1;11635;272
58;1;470;A;9;1;11678;295
58;1;472;A;9;1;11787;300
58;1;473;A;9;1;22486;271
58;1;474;A;9;1;11938;258
58;1;475;A;9;1;12274;277
58;1;476;A;9;1;12426;271
58;1;479;A;9;1;12739;270
58;1;481;A;9;1;13184;284
58;1;483;A;9;1;13242;285
58;1;484;A;9;1;13350;293
58;1;487;A;9;1;13620;303
58;1;488;A;9;1;13734;279
58;1;491;A;9;1;13926;280
58;1;494;A;9;1;14151;295
58;1;495;A;9;1;14237;295
58;1;496;A;9;1;14311;262
58;1;497;A;9;1;14316;271
58;1;498;A;9;1;14929;281
58;1;501;A;9;1;15028;294
58;1;502;A;9;1;15040;293
58;1;504;A;9;1;15355;258
58;1;508;A;9;1;15660;295
58;1;509;A;9;1;15751;281
58;1;510;A;9;1;15767;299
58;1;511;A;9;1;15871;277
58;1;512;A;9;1;16222;280
58;1;514;A;9;1;16276;258
58;1;515;A;9;1;16079;300
