CID;TABCD;LCD;INT_CID;INT_TABCD;INT_LCD
58;1;14;58;1;18
58;1;17;58;1;20
58;1;18;58;1;19
58;1;19;58;1;14
58;1;20;58;1;17
58;1;21;58;1;47834
58;1;22;58;1;28762
58;1;25;58;1;11416
58;1;26;58;1;11418
58;1;27;58;1;55790
58;1;28;58;1;11312
58;1;38;58;1;11827
58;1;41;58;1;11830
58;1;43;58;1;39801
58;1;50;58;1;21872
58;1;53;58;1;11249
58;1;58;58;1;11208
58;1;69;58;1;70
58;1;70;58;1;69
58;1;121;58;1;122
58;1;122;58;1;121
58;1;123;58;1;124
58;1;124;58;1;123
58;1;125;58;1;126
58;1;126;58;1;125
58;1;127;58;1;128
58;1;128;58;1;127
58;1;129;58;1;51427
58;1;130;58;1;131
58;1;131;58;1;130
58;1;132;58;1;133
58;1;133;58;1;132
58;1;136;58;1;137
58;1;137;58;1;136
58;1;141;58;1;42865
58;1;142;58;1;42859
58;1;145;58;1;175
58;1;146;58;1;174
58;1;147;58;1;148
58;1;148;58;1;147
58;1;149;58;1;150
58;1;150;58;1;149
58;1;151;58;1;152
58;1;152;58;1;151
58;1;153;58;1;154
58;1;154;58;1;153
58;1;155;58;1;51637
58;1;156;58;1;42976
58;1;157;58;1;159
58;1;159;58;1;157
58;1;160;58;1;24618
58;1;161;58;1;167
58;1;163;58;1;164
58;1;164;58;1;163
58;1;165;58;1;166
58;1;166;58;1;165
58;1;167;58;1;161
58;1;168;58;1;10358
58;1;174;58;1;146
58;1;175;58;1;145
58;1;177;58;1;178
58;1;178;58;1;177
58;1;179;58;1;180
58;1;180;58;1;179
58;1;181;58;1;182
58;1;182;58;1;181
58;1;185;58;1;30319
58;1;198;58;1;12711
58;1;199;58;1;12710
58;1;200;58;1;12712
58;1;204;58;1;205
58;1;205;58;1;204
58;1;207;58;1;210
58;1;210;58;1;207
58;1;212;58;1;215
58;1;215;58;1;212
58;1;216;58;1;42712
58;1;217;58;1;218
58;1;218;58;1;217
58;1;219;58;1;221
58;1;220;58;1;222
58;1;221;58;1;219
58;1;222;58;1;220
58;1;223;58;1;51416
58;1;224;58;1;51413
58;1;228;58;1;229
58;1;229;58;1;228
58;1;231;58;1;57000
58;1;233;58;1;25506
58;1;236;58;1;238
58;1;237;58;1;239
58;1;238;58;1;236
58;1;239;58;1;237
58;1;241;58;1;51663
58;1;242;58;1;51662
58;1;243;58;1;51660
58;1;244;58;1;51748
58;1;247;58;1;29172
58;1;248;58;1;249
58;1;249;58;1;248
58;1;250;58;1;251
58;1;251;58;1;250
58;1;253;58;1;255
58;1;254;58;1;20624
58;1;255;58;1;253
58;1;298;58;1;51739
58;1;307;58;1;51673
58;1;535;58;1;549
58;1;549;58;1;535
58;1;806;58;1;55968
58;1;837;58;1;855
58;1;855;58;1;837
58;1;868;58;1;912
58;1;890;58;1;902
58;1;902;58;1;890
58;1;912;58;1;868
58;1;957;58;1;48024
58;1;963;58;1;971
58;1;971;58;1;963
58;1;1530;58;1;47798
58;1;1614;58;1;1615
58;1;1615;58;1;1614
58;1;1639;58;1;1641
58;1;1641;58;1;1639
58;1;1654;58;1;11789
58;1;1671;58;1;11219
58;1;1712;58;1;12027
58;1;1749;58;1;11723
58;1;1774;58;1;22276
58;1;1784;58;1;1825
58;1;1791;58;1;48145
58;1;1802;58;1;55925
58;1;1804;58;1;11773
58;1;1811;58;1;55902
58;1;1825;58;1;1784
58;1;1841;58;1;1842
58;1;1842;58;1;1841
58;1;1888;58;1;10616
58;1;1917;58;1;1997
58;1;1979;58;1;7225
58;1;1997;58;1;1917
58;1;2002;58;1;2083
58;1;2007;58;1;2085
58;1;2010;58;1;2104
58;1;2021;58;1;57658
58;1;2037;58;1;23263
58;1;2077;58;1;49593
58;1;2083;58;1;2002
58;1;2085;58;1;2007
58;1;2104;58;1;2010
58;1;2112;58;1;6997
58;1;2135;58;1;2145
58;1;2145;58;1;2135
58;1;2153;58;1;2156
58;1;2156;58;1;2232
58;1;2225;58;1;25864
58;1;2227;58;1;49552
58;1;2232;58;1;2153
58;1;2272;58;1;25753
58;1;2275;58;1;2276
58;1;2276;58;1;2275
58;1;2277;58;1;2280
58;1;2280;58;1;2277
