CID;LID;NID;NAME;NCOMMENT
58;1;1;(Fußball-)Arena;
58;1;2;(Fußball-)Stadion;
58;1;3;A 14 AS Bernburg;
58;1;4;A 14 AS Halle Ost;
58;1;5;A 14 Halle Peißen;
58;1;6;A 14, AS Halle OST;
58;1;7;A1;
58;1;8;A1 Bremen-Hamburg;
58;1;9;A1 Bremen-Osnabrück;
58;1;10;A1 Dortmund-Münster;
58;1;11;A1 Hamburg-Bremen;
58;1;12;A1 Münster-Osnabrück;
58;1;13;A1 Osnabrück-Bremen;
58;1;14;A1, Neustadt ;
58;1;15;A1, Neustadt / Pelzerhaken;
58;1;16;A1, Oldenburg in Holstein-Süd;
58;1;17;A10 AD Schwanebeck-AD Havelland;
58;1;18;A10 AD Werder-AD Havelland;
58;1;19;A100;
58;1;20;A103;
58;1;21;A12 Frankfurt(Oder)-Berliner Ring;
58;1;22;A13 Dresden-Schönefelder Kreuz;
58;1;23;A14 Halle-Leipzig;
58;1;24;A14 Halle-Peißen;
58;1;25;A14 Leipzig-Nossen;
58;1;26;A17 Bad Gottleuba;
58;1;27;A2;
58;1;28;A2 Braunschweig-Hannover;
58;1;29;A2 Dortmund-Hannover;
58;1;30;A2 Hannover-Braunschweig;
58;1;31;A2 Hannover-Dortmund;
58;1;32;A2 Magdeburg-Braunschweig;
58;1;33;A2 Osnabrück-Bremen;
58;1;34;A20;
58;1;35;A20 Anschlussstelle Stralsund;
58;1;36;A20, Groß Sarau;
58;1;37;A21, Bad Segeberg-Nord;
58;1;38;A21, Bornhöved;
58;1;39;A21, Wahlstedt;
58;1;40;A210, Achterwehr;
58;1;41;A210, Bredenbek;
58;1;42;A215 /Westring;
58;1;43;A215, AS Blumenthal;
58;1;44;A215, Blumenthal;
58;1;45;A226;
58;1;46;A23 /Itzehoe-Süd;
58;1;47;A23 Hamburg-Heide;
58;1;48;A23, Albersdorf-Meldorf;
58;1;49;A23, Heide-West;
58;1;50;A23, Itzehoe-Nord;
58;1;51;A23, Pinneberg-Nord;
58;1;52;A23, Schafstedt;
58;1;53;A23/Tornesch;
58;1;54;A24 Berliner Ring-Pritzwalk;
58;1;55;A24, Hornbek;
58;1;56;A250 Lüneburg-Hamburg;
58;1;57;A26;
58;1;58;A27;
58;1;59;A27 AS Sebaldsbrück;
58;1;60;A27/Bremen-Vahr;
58;1;61;A27/Industriehäfen;
58;1;62;A270;
58;1;63;A28 Delmenhorst-Bremen;
58;1;64;A28 Oldenburg-Leer;
58;1;65;A281;
58;1;66;A281 AS Airport-Stadt;
58;1;67;A281 AS Neustädter Hafen;
58;1;68;A293;
58;1;69;A3 Frankfurt-Köln;
58;1;70;A3 Frankfurt-Würzburg;
58;1;71;A3 Nürnberg-Passau;
58;1;72;A3 Oberhausen-Arnheim;
58;1;73;A3 Würzburg-Nürnberg;
58;1;74;A3/Wittgert ;
58;1;75;A30 Osnabrück-Bad Oeynhausen ;
58;1;76;A30 Rheine-Amsterdam;
58;1;77;A33 Brilon-Bielefeld;
58;1;78;A39;
58;1;79;A39 Braunschweig-AD Salzgitter;
