CID;TABCD;LCD;CLASS;TCD;STCD;NID;POL_LCD
58;1;734;A;12;0;321;683
58;1;758;A;12;0;766;388
58;1;764;A;12;0;894;331
58;1;767;A;12;0;923;496
58;1;768;A;12;0;937;311
58;1;783;A;12;0;1451;531
58;1;821;A;12;0;2633;676
58;1;831;A;12;0;2670;328
58;1;833;A;12;0;2684;622
58;1;852;A;12;0;2816;331
58;1;940;A;12;0;3947;347
58;1;996;A;12;0;4660;1272
58;1;1002;A;12;0;4686;331
58;1;1015;A;12;0;5160;621
58;1;1016;A;12;0;4861;621
58;1;1069;A;12;0;5717;376
58;1;1095;A;12;0;6059;376
58;1;1110;A;12;0;6495;331
58;1;1114;A;12;0;6306;376
58;1;1117;A;12;0;6365;38747
58;1;1139;A;12;0;6615;347
58;1;1149;A;12;0;6742;331
58;1;1180;A;12;0;7103;621
58;1;1238;A;12;0;7844;346
58;1;1256;A;12;0;8199;330
58;1;1300;A;12;0;8772;313
58;1;1316;A;12;0;8880;331
58;1;1327;A;12;0;9005;428
58;1;1344;A;12;0;9197;496
58;1;1402;A;12;0;9979;328
58;1;1414;A;12;0;10055;343
58;1;1422;A;12;0;10232;711
58;1;1426;A;12;0;10300;711
58;1;1524;A;12;0;11589;531
58;1;1529;A;12;0;11651;330
58;1;1531;A;12;0;12195;711
58;1;1533;A;12;0;12202;683
58;1;1553;A;12;0;11929;622
58;1;1559;A;12;0;12241;2589
58;1;1616;A;12;0;12991;480
58;1;1624;A;12;0;13091;676
58;1;1625;A;12;0;13111;621
58;1;1643;A;12;0;13346;376
58;1;1659;A;12;0;13494;621
58;1;1683;A;12;0;13841;489
58;1;1693;A;12;0;13898;343
58;1;1700;A;12;0;13909;496
58;1;1703;A;12;0;13934;683
58;1;1720;A;12;0;14185;531
58;1;1741;A;12;0;14934;622
58;1;1745;A;12;0;14979;500
58;1;1757;A;12;0;15165;683
58;1;1773;A;12;0;15307;496
58;1;1892;A;12;0;16836;531
58;1;1935;A;12;0;17368;313
58;1;1936;A;12;0;17370;711
58;1;1938;A;12;0;17416;343
58;1;1968;A;12;0;17921;622
58;1;2029;A;12;0;18708;331
58;1;2033;A;12;0;18742;525
58;1;2048;A;12;0;18997;331
58;1;2075;A;12;0;19438;38591
58;1;2101;A;12;0;12025;38602
58;1;2132;A;12;0;20335;531
58;1;2151;A;12;0;20482;605
58;1;2191;A;12;0;20817;347
58;1;2241;A;12;0;21434;711
58;1;2292;A;12;0;22535;683
58;1;2299;A;12;0;22614;711
58;1;2380;A;12;0;23455;428
58;1;2418;A;12;0;24103;331
58;1;2433;A;12;0;24264;663
58;1;2565;A;12;0;25891;368
58;1;2625;A;12;0;26735;2589
58;1;2644;A;12;0;26960;343
58;1;2664;A;12;0;27205;531
58;1;2713;A;12;0;27753;311
58;1;2730;A;12;0;27937;2601
58;1;2748;A;12;0;28221;313
58;1;2749;A;12;0;28229;428
58;1;2767;A;12;0;28334;368
58;1;2770;A;12;0;28373;683
58;1;2777;A;12;0;28461;622
58;1;2786;A;12;0;28558;727
58;1;2802;A;12;0;548;38602
58;1;2806;A;12;0;676;368
58;1;2812;A;12;0;1501;676
58;1;2820;A;12;0;2747;330
58;1;2832;A;12;0;3374;489
58;1;2842;A;12;0;3842;525
58;1;2843;A;12;0;3850;525
58;1;2844;A;12;0;3879;346
58;1;2845;A;12;0;3881;2796
58;1;2874;A;12;0;5454;368
58;1;2879;A;12;0;5975;622
58;1;2883;A;12;0;6085;38602
58;1;2885;A;12;0;6309;388
58;1;2895;A;12;0;6747;683
58;1;2905;A;12;0;7199;2795
58;1;2915;A;12;0;7844;2795
58;1;2919;A;12;0;8078;2795
58;1;2920;A;12;0;8273;313
58;1;2926;A;12;0;8926;525
58;1;2944;A;12;0;10311;622
58;1;2951;A;12;0;10759;2797
58;1;2960;A;12;0;11321;683
58;1;2971;A;12;0;11640;2795
58;1;2974;A;12;0;11765;38747
58;1;2978;A;12;0;12362;346
58;1;2981;A;12;0;12539;525
58;1;2992;A;12;0;13480;343
58;1;3007;A;12;0;14233;38596
58;1;3041;A;12;0;16699;388
58;1;3067;A;12;0;18136;346
58;1;3075;A;12;0;18437;2797
58;1;3076;A;12;0;18501;563
58;1;3119;A;12;0;21560;621
58;1;3124;A;12;0;21818;676
58;1;3160;A;12;0;24055;330
58;1;3172;A;12;0;24584;2254
58;1;3190;A;12;0;25579;343
58;1;3192;A;12;0;25624;368
58;1;3217;A;12;0;27926;343
58;1;3224;A;12;0;28351;343
58;1;3233;A;12;0;711;346
58;1;3243;A;12;0;3641;343
58;1;3316;A;12;0;26935;328
58;1;3320;A;12;0;27826;388
58;1;3323;A;12;0;28091;722
58;1;3390;A;12;0;3262;38735
58;1;3393;A;12;0;3306;4081
58;1;3394;A;12;0;3354;428
58;1;3415;A;12;0;5479;3228
58;1;3419;A;12;0;5663;2796
58;1;3425;A;12;0;5845;3058
58;1;3437;A;12;0;3939;4081
58;1;3454;A;12;0;8080;413
58;1;3465;A;12;0;8771;525
58;1;3485;A;12;0;9679;1037
58;1;3495;A;12;0;10237;330
58;1;3503;A;6;1;10935;2422
58;1;3504;A;12;0;10981;525
58;1;3514;A;12;0;11559;3228
58;1;3539;A;12;0;13675;525
58;1;3542;A;12;0;14406;525
58;1;3543;A;12;0;14417;3531
58;1;3553;A;12;0;14911;1037
58;1;3555;A;12;0;15052;2795
58;1;3583;A;12;0;16815;2796
58;1;3597;A;12;0;17632;313
58;1;3634;A;12;0;19984;38737
58;1;3650;A;12;0;20676;4454
58;1;3688;A;12;0;22952;2796
58;1;3721;A;12;0;24563;3228
58;1;3725;A;12;0;24774;405
58;1;3794;A;12;0;28210;313
58;1;3818;A;12;0;3147;2223
58;1;3836;A;12;0;5819;711
58;1;3837;A;12;0;5902;531
58;1;3894;A;12;0;13387;331
58;1;3895;A;12;0;13397;683
58;1;3920;A;12;0;15868;563
58;1;3921;A;12;0;15870;563
58;1;3934;A;12;0;17500;311
58;1;3962;A;12;0;22064;311
58;1;3967;A;12;0;22695;621
58;1;3968;A;12;0;22698;622
58;1;3982;A;12;0;24329;525
58;1;3989;A;12;0;25374;3228
58;1;3993;A;12;0;25671;682
58;1;3998;A;12;0;26675;496
58;1;4003;A;12;0;26992;331
58;1;4012;A;12;0;27879;311
58;1;4026;A;12;0;937;496
58;1;4056;A;12;0;3094;4135
58;1;4063;A;12;0;3352;331
58;1;4078;A;12;0;3690;311
58;1;4087;A;12;0;4133;711
58;1;4089;A;12;0;5111;2796
58;1;4101;A;12;0;4681;531
58;1;4119;A;6;1;10251;2729
58;1;4124;A;12;0;5569;311
58;1;4126;A;12;0;5700;347
58;1;4137;A;12;0;5935;563
58;1;4153;A;12;0;6651;676
58;1;4165;A;12;0;6981;711
58;1;4168;A;12;0;7126;311
58;1;4175;A;12;0;7398;676
58;1;4193;A;12;0;8276;676
58;1;4194;A;12;0;8298;311
58;1;4202;A;12;0;8443;311
58;1;4217;A;12;0;9122;622
58;1;4240;A;12;0;9961;1074
58;1;4259;A;12;0;10759;328
58;1;4260;A;12;0;10785;531
58;1;4267;A;12;0;11107;683
58;1;4271;A;12;0;11373;711
58;1;4273;A;12;0;11470;2796
58;1;4274;A;12;0;11438;4049
58;1;4275;A;12;0;11454;2796
58;1;4279;A;12;0;11564;4454
58;1;4289;A;12;0;12009;622
58;1;4294;A;12;0;12540;525
58;1;4297;A;12;0;12651;622
58;1;4300;A;12;0;13125;621
58;1;4314;A;12;0;13691;328
58;1;4315;A;12;0;13710;3228
58;1;4332;A;12;0;14311;496
58;1;4340;A;12;0;15114;711
58;1;4350;A;12;0;15386;531
58;1;4353;A;12;0;15486;3228
58;1;4364;A;12;0;15912;311
58;1;4368;A;12;0;21973;3671
58;1;4379;A;12;0;16736;3228
58;1;4383;A;12;0;16899;683
58;1;4386;A;12;0;17000;531
58;1;4389;A;12;0;17140;711
58;1;4391;A;12;0;17184;622
58;1;4397;A;12;0;17335;711
58;1;4400;A;12;0;17860;531
58;1;4403;A;12;0;17929;622
58;1;4405;A;12;0;17959;531
58;1;4411;A;12;0;18306;3330
58;1;4414;A;12;0;18355;343
58;1;4424;A;12;0;18534;531
58;1;4426;A;12;0;18566;525
58;1;4427;A;12;0;18611;311
58;1;4430;A;12;0;18708;531
58;1;4434;A;12;0;18912;330
58;1;4446;A;12;0;19319;328
58;1;4447;A;12;0;19386;531
58;1;4461;A;12;0;20312;496
58;1;4466;A;12;0;20496;531
58;1;4473;A;12;0;20617;531
58;1;4479;A;12;0;20905;676
58;1;4480;A;12;0;20906;2795
58;1;4485;A;12;0;21013;683
58;1;4486;A;12;0;21032;2795
58;1;4489;A;12;0;21260;2796
58;1;4506;A;12;0;21990;311
58;1;4514;A;12;0;22138;330
58;1;4515;A;12;0;11200;3676
58;1;4516;A;12;0;22358;330
58;1;4525;A;12;0;22780;313
58;1;4532;A;12;0;23098;331
58;1;4542;A;12;0;23613;496
58;1;4556;A;12;0;23461;683
58;1;4563;A;12;0;23995;711
58;1;4575;A;12;0;24649;2795
58;1;4586;A;12;0;24857;311
58;1;4595;A;12;0;25495;328
58;1;4622;A;12;0;26673;330
58;1;4623;A;12;0;26677;711
58;1;4624;A;12;0;26681;331
58;1;4631;A;12;0;26992;531
58;1;4643;A;12;0;27427;711
58;1;4658;A;12;0;27797;330
58;1;4663;A;12;0;27862;711
58;1;4703;A;12;0;18060;954
58;1;4705;A;12;0;22002;2118
58;1;4719;A;12;0;1591;38618
58;1;4720;A;12;0;1772;489
58;1;4732;A;12;0;3507;32814
58;1;4734;A;12;0;4113;2610
58;1;4742;A;12;0;4834;489
58;1;4744;A;12;0;3514;4896
58;1;4745;A;12;0;3848;525
58;1;4749;A;12;0;3515;32812
58;1;4757;A;12;0;6747;682
58;1;4772;A;12;0;7793;682
58;1;4781;A;12;0;3520;32825
58;1;4782;A;12;0;3522;32813
58;1;4799;A;12;0;10235;849
58;1;4806;A;12;0;10740;849
58;1;4811;A;12;0;3531;32814
58;1;4822;A;12;0;12215;605
58;1;4824;A;12;0;3533;32825
58;1;4826;A;12;0;12003;489
58;1;4837;A;12;0;3854;525
58;1;4841;A;12;0;3541;32817
58;1;4843;A;12;0;3540;32813
58;1;4856;A;12;0;15220;524
58;1;4863;A;12;0;3543;32825
58;1;4871;A;12;0;16328;489
58;1;4873;A;12;0;3547;32814
58;1;4877;A;12;0;3551;32814
58;1;4878;A;12;0;16779;347
58;1;4879;A;12;0;16784;516
58;1;4881;A;12;0;17126;489
58;1;4891;A;12;0;17540;2797
58;1;4892;A;12;0;18036;682
58;1;4914;A;12;0;19355;489
58;1;4918;A;12;0;19496;516
58;1;4924;A;12;0;20026;682
58;1;4928;A;12;0;20330;489
58;1;4930;A;12;0;20368;722
58;1;4931;A;12;0;20381;516
58;1;4933;A;12;0;20502;330
58;1;4935;A;12;0;3560;4925
58;1;4938;A;12;0;21124;489
58;1;4943;A;12;0;21586;516
58;1;4966;A;12;0;3569;32816
58;1;4977;A;12;0;3572;32815
58;1;4984;A;12;0;3575;32816
58;1;4987;A;12;0;3576;4885
58;1;4989;A;12;0;3577;32817
58;1;4997;A;12;0;3581;4885
58;1;5001;A;12;0;3582;4925
58;1;5007;A;12;0;27406;682
58;1;5008;A;12;0;27406;516
58;1;5019;A;12;0;3587;32815
58;1;5028;A;6;4;12557;5031
58;1;5037;A;12;0;1055;3058
58;1;5047;A;12;0;3430;4694
58;1;5048;A;12;0;3509;4925
58;1;5052;A;12;0;3512;4925
58;1;5053;A;12;0;4861;4615
58;1;5054;A;6;1;12682;2580
58;1;5056;A;6;1;26378;2627
58;1;5058;A;12;0;8722;4694
58;1;5059;A;12;0;7118;2901
58;1;5063;A;12;0;3521;32817
58;1;5065;A;12;0;8717;915
58;1;5069;A;12;0;9626;2901
58;1;5072;A;12;0;10287;2901
58;1;5074;A;6;1;23894;4281
58;1;5075;A;12;0;10661;915
58;1;5077;A;12;0;11032;3094
58;1;5079;A;6;4;730;721
58;1;5083;A;12;0;11754;1074
58;1;5090;A;12;0;12141;3444
58;1;5091;A;12;0;12144;3444
58;1;5094;A;12;0;12600;3550
58;1;5097;A;12;0;13414;3467
58;1;5098;A;6;4;8701;3558
58;1;5101;A;12;0;15203;2901
58;1;5107;A;12;0;15897;38725
58;1;5109;A;12;0;16194;4018
58;1;5110;A;6;1;17944;5031
58;1;5114;A;12;0;17008;3671
58;1;5126;A;12;0;18283;1556
58;1;5128;A;12;0;3555;4925
58;1;5131;A;12;0;3557;32817
58;1;5133;A;12;0;19488;2577
58;1;5134;A;12;0;19938;2601
58;1;5136;A;12;0;20246;3094
58;1;5142;A;6;4;12557;3558
58;1;5144;A;12;0;24025;1556
58;1;5147;A;12;0;24653;4694
58;1;5148;A;6;4;12557;379
58;1;5155;A;12;0;26270;2577
58;1;5157;A;12;0;2695;4042
58;1;5158;A;12;0;27243;2901
58;1;5181;A;12;0;2896;331
58;1;5182;A;12;0;3064;2795
58;1;5196;A;12;0;4896;525
58;1;5203;A;12;0;6028;328
58;1;5249;A;12;0;10785;368
58;1;5260;A;12;0;11555;711
58;1;5261;A;12;0;12016;3228
58;1;5263;A;12;0;12380;683
58;1;5278;A;12;0;14512;496
58;1;5314;A;12;0;18637;622
58;1;5315;A;12;0;18695;622
58;1;5317;A;12;0;19066;2258
58;1;5320;A;12;0;19207;622
58;1;5326;A;12;0;19934;2796
58;1;5341;A;12;0;21295;496
58;1;5346;A;12;0;22064;347
58;1;5372;A;12;0;25478;531
58;1;5396;A;12;0;27078;2795
58;1;5414;A;12;0;721;531
58;1;5423;A;12;0;4311;3531
58;1;5428;A;12;0;6671;516
58;1;5433;A;12;0;7840;524
58;1;5456;A;12;0;20209;2118
58;1;5461;A;6;3;12526;891
58;1;5482;A;12;0;18576;313
58;1;5484;A;12;0;18645;531
58;1;5496;A;12;0;21563;722
58;1;5500;A;12;0;22638;3228
58;1;5522;A;12;0;27002;4042
58;1;5912;A;6;5;18983;265
58;1;5913;A;6;5;4029;265
58;1;5914;A;6;5;28658;1
58;1;5949;A;6;5;27473;265
58;1;5950;A;6;5;25125;265
58;1;5951;A;6;5;22499;265
58;1;6000;A;6;1;739;299
58;1;6001;A;6;1;3222;294
58;1;6002;A;6;1;3223;293
58;1;6003;A;6;1;3422;294
58;1;6004;A;6;1;3471;260
58;1;6005;A;6;1;4146;263
58;1;6006;A;6;1;4327;265
58;1;6007;A;6;1;5377;294
58;1;6008;A;6;1;6368;260
58;1;6010;A;6;1;6830;1
58;1;6011;A;6;1;7150;400
58;1;6012;A;6;1;7795;295
58;1;6013;A;6;1;8087;295
58;1;6014;A;6;1;8500;291
58;1;6015;A;6;1;8501;295
58;1;6017;A;6;1;10698;258
58;1;6018;A;6;1;10848;455
58;1;6019;A;6;1;11653;468
58;1;6020;A;6;1;12136;262
58;1;6021;A;6;1;12582;268
58;1;6022;A;6;1;16310;258
58;1;6023;A;6;1;16863;268
58;1;6024;A;6;1;16864;268
58;1;6025;A;6;1;17464;262
58;1;6026;A;6;1;17859;292
58;1;6028;A;6;1;17938;3227
58;1;6029;A;6;1;17940;258
58;1;6030;A;6;1;17941;258
58;1;6031;A;6;1;18252;291
58;1;6032;A;6;1;18640;577
58;1;6033;A;6;1;18872;263
58;1;6034;A;6;1;18873;258
58;1;6035;A;6;1;18998;262
58;1;6036;A;6;1;19268;296
