CID;TABCD;LCD;NEG_OFF_LCD;POS_OFF_LCD
58;1;14;39392;22
58;1;15;22;16
58;1;16;15;17
58;1;17;16;
58;1;18;;26283
58;1;19;;24933
58;1;20;39384;39385
58;1;21;;21891
58;1;22;14;15
58;1;23;24815;24817
58;1;24;;24853
58;1;25;761;
58;1;26;;24343
58;1;27;;55791
58;1;28;1733;
58;1;29;14698;26080
58;1;30;23887;23888
58;1;31;40200;20150
58;1;32;47860;47859
58;1;33;38;47922
58;1;35;39870;39872
58;1;36;55779;55780
58;1;37;47923;47860
58;1;38;;33
58;1;39;47855;21827
58;1;40;39440;39441
58;1;41;55935;
58;1;42;28816;43
58;1;43;42;
58;1;45;;46
58;1;46;45;47
58;1;47;46;48
58;1;48;47;49
58;1;49;48;50
58;1;50;49;51
58;1;51;50;52
58;1;52;51;53
58;1;53;52;
58;1;55;25899;25900
58;1;56;39695;39436
58;1;58;;59
58;1;59;58;60
58;1;60;59;61
58;1;61;60;62
58;1;62;61;63
58;1;63;62;64
58;1;64;63;65
58;1;65;64;66
58;1;66;65;67
58;1;67;66;837
58;1;69;;21780
58;1;70;24233;24235
58;1;73;21658;21659
58;1;74;10437;10438
58;1;75;10445;17840
58;1;76;47211;25665
58;1;121;42755;51407
58;1;122;223;25651
58;1;123;;42549
58;1;124;42550;249
58;1;125;29206;29207
58;1;126;;42645
58;1;127;;29206
58;1;128;52407;25682
58;1;129;42559;130
58;1;130;129;30202
58;1;131;;30194
58;1;132;29256;
58;1;133;45756;29749
58;1;135;;136
58;1;136;135;
58;1;137;199;238
58;1;139;;141
58;1;141;139;142
58;1;142;141;
58;1;145;56929;
58;1;146;;42547
58;1;147;42896;
58;1;148;21105;56909
58;1;149;21014;21015
58;1;150;30187;52348
58;1;151;42577;25515
58;1;152;51449;24631
58;1;153;29260;
58;1;154;56898;21094
58;1;155;42973;156
58;1;156;155;157
58;1;157;156;161
58;1;159;;160
58;1;160;159;
58;1;161;157;
58;1;162;;163
58;1;163;162;
58;1;164;51580;51355
58;1;165;54623;167
58;1;166;51640;51579
58;1;167;165;168
58;1;168;167;213
58;1;170;51356;212
58;1;171;10362;10364
58;1;172;11204;11205
58;1;174;;175
58;1;175;174;177
58;1;177;175;179
58;1;178;51327;50043
58;1;179;177;181
58;1;180;51328;42762
58;1;181;179;
58;1;182;51370;51375
58;1;183;12708;12709
58;1;184;12712;12713
58;1;185;30310;30311
58;1;198;;239
58;1;199;21113;137
58;1;200;54631;54632
58;1;202;;203
58;1;203;202;204
58;1;204;203;
58;1;205;30286;30287
58;1;207;;208
58;1;208;207;209
58;1;209;208;
58;1;210;56946;42665
58;1;212;170;
58;1;213;168;
58;1;214;;215
58;1;215;214;216
58;1;216;215;
58;1;217;;56943
58;1;218;56918;21112
58;1;219;42794;220
58;1;220;219;42648
