CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;ROA_LCD;SEG_LCD;POL_LCD
58;1;34;L;3;0;B8;;6519;6387;50444;;260
58;1;1987;L;3;0;L75;;7017;11210;6982;;256
58;1;1990;L;3;0;L75;;11210;17903;6982;;256
58;1;3011;L;3;0;L28;;18325;18206;3009;;529
58;1;3013;L;3;0;L28;;1478;20158;3009;;686
58;1;5206;L;3;0;A14;;5597;16371;51281;;270
58;1;6465;L;3;0;L3048;;9192;8489;6464;;528
58;1;6466;L;3;0;L3048;;8489;13522;6464;;528
58;1;6483;L;3;0;L3073;;24161;8054;6482;;261
58;1;6484;L;3;0;L3073;;8054;25902;6482;;261
58;1;6488;L;3;0;B253;;8054;8471;50273;;261
58;1;6654;L;3;0;L3238;;18102;27954;6653;;3325
58;1;6655;L;3;0;L3238;;27954;27951;6653;;3325
58;1;6656;L;3;0;L3238;;27951;11429;6653;;3325
58;1;6711;L;3;0;L3141;;24079;7904;6710;;261
58;1;6712;L;3;0;L3141;;7904;9791;6710;;261
58;1;6713;L;3;0;L3141;;9791;23084;6710;;261
58;1;6838;L;3;0;L3070;;25902;21948;6837;;696
58;1;6839;L;3;0;L3070;;21948;13610;6837;;696
58;1;7000;L;3;0;A1;;22504;25671;50060;;1
58;1;7001;L;3;0;A1;;25671;14391;50060;;1
58;1;7005;L;3;0;A1;;6189;17850;50060;;260
58;1;7006;L;3;0;A1;;17850;19780;50060;;292
58;1;7007;L;3;0;A1;;19780;4554;50060;;1
58;1;7008;L;3;0;A1;;4554;10428;50060;;1
58;1;7009;L;3;0;A1;;10428;16254;50060;;1
58;1;7010;L;3;0;A1;;16254;7695;50060;;256
58;1;7012;L;3;0;A10;18978;6272;6284;50061;;1
58;1;7013;L;3;0;A10;28655;6284;6285;50061;;267
58;1;7014;L;3;0;A10;25121;6285;23608;50061;;267
58;1;7015;L;3;0;A10;25121;23608;6283;50061;;267
58;1;7016;L;3;0;A10;25121;6283;6292;50061;;267
58;1;7017;L;3;0;A10;27470;6292;6272;50061;;267
58;1;7018;L;3;0;A100;24444;26953;27766;50062;;266
58;1;7023;L;3;0;A11;;3606;6290;50067;;267
58;1;7024;L;3;0;A11;;6290;24693;50067;;1
58;1;7031;L;3;0;A14;;10378;15454;51281;;1
58;1;7032;L;3;0;A14;;15454;18926;51281;;1
58;1;7034;L;3;0;A38;;10378;15454;50169;;269
58;1;7035;L;3;0;A15;;5496;4621;50075;;267
58;1;7036;L;3;0;A15;;6286;5496;50075;;267
58;1;7041;L;3;0;A2;;19167;6189;50080;;260
58;1;7042;L;3;0;A2;;6189;10561;50080;;1
58;1;7043;L;3;0;A2;;10561;4431;50080;;258
58;1;7044;L;3;0;A2;;4431;16371;50080;;1
58;1;7045;L;3;0;A2;;16371;3606;50080;;1
58;1;7046;L;3;0;A20;;16254;22016;50081;;1
58;1;7047;L;3;0;A20;;22016;24693;50081;;1
58;1;7053;L;3;0;A24;;10428;23504;50087;;1
58;1;7054;L;3;0;A24;;23504;20780;50087;;1
58;1;7055;L;3;0;A24;;20780;3606;50087;;267
58;1;7056;L;3;0;A14;;23504;27869;51281;;268
58;1;7058;L;3;0;A39;;16302;10428;50108;;258
58;1;7063;L;3;0;A27;;26780;4554;50095;;258
58;1;7064;L;3;0;A27;;4554;4591;50095;;1
58;1;7065;L;3;0;A27;;4591;5537;50095;;1
58;1;7066;L;3;0;A28;;15355;19540;50096;;258
58;1;7067;L;3;0;A28;;19540;4554;50096;;258
58;1;7070;L;3;0;A29;12683;570;19540;50099;;258
58;1;7071;L;3;0;A29;12683;19540;27715;50099;;258
58;1;7073;L;3;0;A3;;15868;20151;50101;;264
58;1;7074;L;3;0;A3;;20151;18999;50101;;264
58;1;7075;L;3;0;A3;;18999;28269;50101;;264
58;1;7076;L;3;0;A3;;28269;8091;50101;;1
58;1;7077;L;3;0;A3;;8091;14349;50101;;1
58;1;7080;L;3;0;A3;;19167;1675;50101;;260
58;1;7081;L;3;0;A30;;21564;19780;50102;;1
58;1;7082;L;3;0;A30;;19780;2820;50102;;1
58;1;7083;L;3;0;A31;;4336;9632;50103;;1
58;1;7084;L;3;0;A31;;9632;15833;50103;;1
58;1;7085;L;3;0;A33;;4667;3778;50104;;277
58;1;7086;L;3;0;A33;;3778;19780;50104;;1
58;1;7088;L;3;0;A37;;10573;17083;50106;;258
58;1;7089;L;3;0;A37;;17083;4952;50106;;258
58;1;7091;L;3;0;A39;;22620;4431;50108;;258
58;1;7092;L;3;0;A39;;4431;28017;50108;;258
58;1;7093;L;3;0;A391;24410;4447;4441;50109;;356
58;1;7095;L;3;0;A395;;2719;27984;50111;;258
