CID;TABCD;LCD;NEG_OFF_LCD;POS_OFF_LCD
58;1;34;9034;9036
58;1;1987;;1990
58;1;1990;1987;
58;1;3011;;3013
58;1;3013;3011;
58;1;5206;7056;43500
58;1;6465;;6466
58;1;6466;6465;
58;1;6483;;6484
58;1;6484;6483;
58;1;6488;39038;39039
58;1;6654;;6655
58;1;6655;6654;6656
58;1;6656;6655;
58;1;6711;;6712
58;1;6712;6711;6713
58;1;6713;6712;
58;1;6838;;6839
58;1;6839;6838;
58;1;7000;;7001
58;1;7001;7000;55928
58;1;7005;39797;7006
58;1;7006;7005;7007
58;1;7007;7006;7008
58;1;7008;7007;7009
58;1;7009;7008;7010
58;1;7010;7009;
58;1;7012;7017;7013
58;1;7013;7012;7014
58;1;7014;7013;7015
58;1;7015;7014;7016
58;1;7016;7015;7017
58;1;7017;7016;7012
58;1;7018;;32602
58;1;7023;;7024
58;1;7024;7023;
58;1;7031;43500;7032
58;1;7032;7031;
58;1;7034;7215;
58;1;7035;7036;
58;1;7036;;7035
58;1;7041;;7042
58;1;7042;7041;7043
58;1;7043;7042;7044
58;1;7044;7043;7045
58;1;7045;7044;
58;1;7046;57663;7047
58;1;7047;7046;
58;1;7053;;7054
58;1;7054;7053;7055
58;1;7055;7054;
58;1;7056;;5206
58;1;7058;7092;
58;1;7063;;7064
58;1;7064;7063;7065
58;1;7065;7064;
58;1;7066;;7067
58;1;7067;7066;
58;1;7070;;7071
58;1;7071;7070;
58;1;7073;;7074
58;1;7074;7073;7075
58;1;7075;7074;7076
58;1;7076;7075;7077
58;1;7077;7076;39798
58;1;7080;39798;
58;1;7081;38987;7082
58;1;7082;7081;
58;1;7083;;7084
58;1;7084;7083;54473
58;1;7085;;7086
58;1;7086;7085;
58;1;7088;;7089
58;1;7089;7088;
58;1;7091;;7092
58;1;7092;7091;7058
58;1;7093;;38997
58;1;7095;;47676
58;1;7096;;7097
58;1;7097;7096;7099
58;1;7099;7097;7100
58;1;7100;7099;42607
58;1;7101;42607;
58;1;7102;;7103
58;1;7103;7102;7104
58;1;7104;7103;
58;1;7106;;7107
58;1;7107;7106;
58;1;7108;;7109
58;1;7109;7108;7110
58;1;7110;7109;39803
58;1;7111;39803;45082
58;1;7114;;7115
58;1;7115;7114;7116
58;1;7116;7115;
58;1;7117;;7118
58;1;7118;7117;7120
58;1;7120;7118;55803
58;1;7122;;7123
58;1;7123;7122;
58;1;7124;36581;
58;1;7127;;7128
58;1;7128;7127;7129
58;1;7129;7128;7130
58;1;7130;7129;7131
58;1;7131;7130;
58;1;7133;;7134
58;1;7134;7133;7135
58;1;7135;7134;39804
58;1;7147;;7148
58;1;7148;7147;
58;1;7151;;7152
58;1;7152;7151;7154
58;1;7154;7152;
58;1;7155;;7156
58;1;7156;7155;7157
58;1;7157;7156;7158
58;1;7158;7157;7159
58;1;7159;7158;
58;1;7160;;7162
58;1;7162;7160;7163
58;1;7163;7162;
58;1;7165;;7166
58;1;7166;7165;7167
58;1;7167;7166;7168
58;1;7168;7167;7169
58;1;7169;7168;
58;1;7170;;7171
58;1;7171;7170;
58;1;7177;;7178
58;1;7178;7177;
58;1;7182;;7183
58;1;7183;7182;
58;1;7185;;7186
58;1;7186;7185;
